MES,POSICION_DIA,HORA_DEL_DIA,HORARIO_TURNO_CATEGORICA,ID_UBICACION_ORIGEN,LATITUD_ORIGEN,LONGITUD_ORIGEN,ID_UBICACION_DESTINO,LATITUD_DESTINO,LONGITUD_DESTINO,TIEMPO_MOVILIZACION,MINUTOS_EN_ESTACION,SERVICE_ID,MINUTOS_EN_ACTIVIDAD,MINUTOS_ALISTAMIENTO,USUARIO_ID,CLUSTER
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,2,1,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,1,4,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,2,1,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,1,4,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,2,1,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,1,4,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,2,1,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,1,4,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,2,1,2,3
6,6,12,1,32,3.44210427482807,-76.5329592237468,5,3.44402100008543,-76.5209314646704,7,46,6137,0,44,2,3
6,6,12,1,32,3.44210427482807,-76.5329592237468,5,3.44402100008543,-76.5209314646704,7,46,6137,0,45,2,3
6,6,12,1,32,3.44210427482807,-76.5329592237468,5,3.44402100008543,-76.5209314646704,7,46,6137,0,44,2,3
6,6,12,1,32,3.44210427482807,-76.5329592237468,5,3.44402100008543,-76.5209314646704,7,46,6137,0,45,2,3
6,7,15,2,78,3.36714761458388,-76.52949647924,6,3.37255095327099,-76.5398551705051,5,9,6135,8,0,2,2
6,7,15,2,78,3.36714761458388,-76.52949647924,6,3.37255095327099,-76.5398551705051,5,9,6135,0,9,2,2
6,7,18,2,19,3.37690466220876,-76.5427170875342,6,3.37255095327099,-76.5398551705051,11,13,6137,0,13,2,2
6,7,18,2,19,3.37690466220876,-76.5427170875342,6,3.37255095327099,-76.5398551705051,11,13,6135,2,7,2,2
6,7,18,2,19,3.37690466220876,-76.5427170875342,6,3.37255095327099,-76.5398551705051,11,13,6135,0,10,2,2
6,7,18,2,19,3.37690466220876,-76.5427170875342,6,3.37255095327099,-76.5398551705051,11,13,6137,0,11,2,2
6,7,20,2,75,3.43935260358881,-76.5373915741497,21,3.41849359094018,-76.4867977476542,15,16,6135,1,13,2,0
6,7,20,2,75,3.43935260358881,-76.5373915741497,21,3.41849359094018,-76.4867977476542,15,16,6135,0,15,2,0
7,1,14,1,42,3.44383954253718,-76.4991024009094,68,3.44801119892302,-76.5299371464294,13,18,6135,13,0,2,3
7,1,14,1,42,3.44383954253718,-76.4991024009094,68,3.44801119892302,-76.5299371464294,13,18,6135,0,16,2,3
7,1,17,2,4,3.44481498030605,-76.5085476281698,74,3.45384637947355,-76.5298314123795,8,42,6137,0,42,2,3
