,MINUTOS_EN_ESTACION,TIEMPO_MOVILIZACION,USUARIO_ID,SERVICE_ID,LATITUD_DESTINO,LONGITUD_DESTINO
28689,21,17,20,6135,3.41849359094018,-76.4867977476542
28690,21,17,20,6135,3.41849359094018,-76.4867977476542
28691,21,17,20,6137,3.41849359094018,-76.4867977476542
28692,21,17,20,6135,3.41849359094018,-76.4867977476542
28693,21,17,20,6135,3.41849359094018,-76.4867977476542
28694,21,17,20,6137,3.41849359094018,-76.4867977476542
28695,24,8,20,6137,3.43722520180155,-76.5174419856083
28696,24,8,20,6137,3.43722520180155,-76.5174419856083
28697,24,8,20,6137,3.43722520180155,-76.5174419856083
28698,41,21,20,6137,3.44332180671126,-76.4839397169372
28699,41,21,20,6138,3.44332180671126,-76.4839397169372
28700,14,17,20,6137,3.44481498030605,-76.5085476281698
28701,14,17,20,6137,3.44481498030605,-76.5085476281698
28702,14,17,20,6135,3.44481498030605,-76.5085476281698
28703,14,17,20,6137,3.44481498030605,-76.5085476281698
28704,14,17,20,6137,3.44481498030605,-76.5085476281698
28705,14,17,20,6135,3.44481498030605,-76.5085476281698
28706,26,10,20,6135,3.43453710452703,-76.5138022279781
28707,26,10,20,6135,3.43453710452703,-76.5138022279781
28708,26,10,20,6135,3.43453710452703,-76.5138022279781
28709,26,10,20,6137,3.43453710452703,-76.5138022279781
28710,26,10,20,6135,3.43453710452703,-76.5138022279781
28711,26,10,20,6135,3.43453710452703,-76.5138022279781
28712,26,10,20,6135,3.43453710452703,-76.5138022279781
28713,26,10,20,6137,3.43453710452703,-76.5138022279781
28714,26,10,20,6135,3.43453710452703,-76.5138022279781
28715,26,10,20,6135,3.43453710452703,-76.5138022279781
28716,26,10,20,6135,3.43453710452703,-76.5138022279781
28717,26,10,20,6137,3.43453710452703,-76.5138022279781
28718,11,10,20,6135,3.46604705523872,-76.5134043964274
28719,11,10,20,6135,3.46604705523872,-76.5134043964274
28720,11,10,20,6135,3.46604705523872,-76.5134043964274
28721,11,10,20,6135,3.46604705523872,-76.5134043964274
28722,11,10,20,6135,3.46604705523872,-76.5134043964274
28723,11,10,20,6135,3.46604705523872,-76.5134043964274
28724,11,10,20,6135,3.46604705523872,-76.5134043964274
28725,11,10,20,6135,3.46604705523872,-76.5134043964274
28726,25,20,20,6137,3.44332180671126,-76.4839397169372
28727,25,20,20,6135,3.44332180671126,-76.4839397169372
28728,25,20,20,6135,3.44332180671126,-76.4839397169372
28729,25,20,20,6135,3.44332180671126,-76.4839397169372
28730,25,20,20,6138,3.44332180671126,-76.4839397169372
28731,25,20,20,6138,3.44332180671126,-76.4839397169372
28732,67,16,20,6135,3.44332180671126,-76.4839397169372
28733,67,16,20,6135,3.44332180671126,-76.4839397169372
28734,67,16,20,6135,3.44332180671126,-76.4839397169372
28735,67,16,20,6135,3.44332180671126,-76.4839397169372
28736,18,21,20,6135,3.41840956522489,-76.5482712818292
28737,18,21,20,6135,3.41840956522489,-76.5482712818292
28738,94,25,20,6135,3.36714761458388,-76.52949647924
28739,94,25,20,6135,3.36714761458388,-76.52949647924
28740,4,11,20,6135,3.38757205033245,-76.5447785616404
28741,4,11,20,6135,3.38757205033245,-76.5447785616404
28742,16,7,20,6135,3.37255095327099,-76.5398551705051
28743,16,7,20,6135,3.37255095327099,-76.5398551705051
28744,16,7,20,6135,3.37255095327099,-76.5398551705051
28745,16,7,20,6135,3.37255095327099,-76.5398551705051
28746,4,18,20,8373,3.40947826448299,-76.5473633540787
28747,4,18,20,8373,3.40947826448299,-76.5473633540787
28748,4,18,20,6135,3.40947826448299,-76.5473633540787
28749,4,18,20,8373,3.40947826448299,-76.5473633540787
28750,4,18,20,8373,3.40947826448299,-76.5473633540787
28751,4,18,20,6135,3.40947826448299,-76.5473633540787
28752,29,10,20,6135,3.44265715161853,-76.5281285653011
28753,29,10,20,6135,3.44265715161853,-76.5281285653011
28754,29,10,20,6137,3.44265715161853,-76.5281285653011
28755,29,10,20,6137,3.44265715161853,-76.5281285653011
28756,10,5,20,6135,3.43935260358881,-76.5373915741497
28757,10,5,20,6135,3.43935260358881,-76.5373915741497
28758,10,5,20,6135,3.43935260358881,-76.5373915741497
28759,10,5,20,6135,3.43935260358881,-76.5373915741497
28760,10,5,20,6135,3.43935260358881,-76.5373915741497
28761,10,5,20,6135,3.43935260358881,-76.5373915741497
28762,10,5,20,6135,3.43935260358881,-76.5373915741497
28763,10,5,20,6135,3.43935260358881,-76.5373915741497
28764,10,13,20,6138,3.42300676194683,-76.5471434261955
28765,10,13,20,6135,3.42300676194683,-76.5471434261955
28766,10,13,20,6138,3.42300676194683,-76.5471434261955
28767,10,13,20,6135,3.42300676194683,-76.5471434261955
28768,10,13,20,6135,3.42300676194683,-76.5471434261955
28769,10,13,20,6135,3.42300676194683,-76.5471434261955
28770,10,13,20,6138,3.42300676194683,-76.5471434261955
28771,10,13,20,6135,3.42300676194683,-76.5471434261955
28772,10,13,20,6138,3.42300676194683,-76.5471434261955
28773,10,13,20,6135,3.42300676194683,-76.5471434261955
28774,10,13,20,6135,3.42300676194683,-76.5471434261955
28775,10,13,20,6135,3.42300676194683,-76.5471434261955
28776,11,10,20,6135,3.41432646569837,-76.5482149554339
28777,11,10,20,6138,3.41432646569837,-76.5482149554339
28778,11,10,20,6138,3.41432646569837,-76.5482149554339
28779,11,10,20,6138,3.41432646569837,-76.5482149554339
28780,11,10,20,6135,3.41432646569837,-76.5482149554339
28781,11,10,20,6138,3.41432646569837,-76.5482149554339
28782,11,10,20,6138,3.41432646569837,-76.5482149554339
28783,11,10,20,6138,3.41432646569837,-76.5482149554339
28784,11,10,20,6135,3.41432646569837,-76.5482149554339
28785,11,10,20,6138,3.41432646569837,-76.5482149554339
28786,11,10,20,6138,3.41432646569837,-76.5482149554339
28787,11,10,20,6138,3.41432646569837,-76.5482149554339
28788,11,10,20,6135,3.41432646569837,-76.5482149554339
28789,11,10,20,6138,3.41432646569837,-76.5482149554339
28790,11,10,20,6138,3.41432646569837,-76.5482149554339
28791,11,10,20,6138,3.41432646569837,-76.5482149554339
28792,11,10,20,6135,3.41432646569837,-76.5482149554339
28793,11,10,20,6138,3.41432646569837,-76.5482149554339
28794,11,10,20,6138,3.41432646569837,-76.5482149554339
28795,11,10,20,6138,3.41432646569837,-76.5482149554339
28796,11,10,20,6135,3.41432646569837,-76.5482149554339
28797,11,10,20,6138,3.41432646569837,-76.5482149554339
28798,11,10,20,6138,3.41432646569837,-76.5482149554339
28799,11,10,20,6138,3.41432646569837,-76.5482149554339
28800,3,17,20,8373,3.40947826448299,-76.5473633540787
28801,3,17,20,8373,3.40947826448299,-76.5473633540787
28802,3,17,20,8373,3.40947826448299,-76.5473633540787
28803,3,17,20,8373,3.40947826448299,-76.5473633540787
28804,3,17,20,8373,3.40947826448299,-76.5473633540787
28805,3,17,20,8373,3.40947826448299,-76.5473633540787
28806,3,17,20,8373,3.40947826448299,-76.5473633540787
28807,3,17,20,8373,3.40947826448299,-76.5473633540787
28808,11,3,20,6135,3.39847770030099,-76.5464255771778
28809,11,3,20,6138,3.39847770030099,-76.5464255771778
28810,11,3,20,6135,3.39847770030099,-76.5464255771778
28811,11,3,20,6135,3.39847770030099,-76.5464255771778
28812,11,3,20,6135,3.39847770030099,-76.5464255771778
28813,11,3,20,6138,3.39847770030099,-76.5464255771778
28814,11,3,20,6135,3.39847770030099,-76.5464255771778
28815,11,3,20,6135,3.39847770030099,-76.5464255771778
28816,3,11,20,6135,3.38757205033245,-76.5447785616404
28817,3,11,20,6135,3.38757205033245,-76.5447785616404
28818,3,11,20,6135,3.38757205033245,-76.5447785616404
28819,3,11,20,6135,3.38757205033245,-76.5447785616404
28820,3,11,20,6135,3.38757205033245,-76.5447785616404
28821,3,11,20,6135,3.38757205033245,-76.5447785616404
28822,3,11,20,6135,3.38757205033245,-76.5447785616404
28823,3,11,20,6135,3.38757205033245,-76.5447785616404
28824,10,7,20,6138,3.37255095327099,-76.5398551705051
28825,10,7,20,6135,3.37255095327099,-76.5398551705051
28826,10,7,20,6138,3.37255095327099,-76.5398551705051
28827,10,7,20,6138,3.37255095327099,-76.5398551705051
28828,10,7,20,6135,3.37255095327099,-76.5398551705051
28829,10,7,20,6138,3.37255095327099,-76.5398551705051
28830,24,7,20,6135,3.36714761458388,-76.52949647924
28831,24,7,20,6135,3.36714761458388,-76.52949647924
